miRNA	Calu3_smallRNA-S1-4h-A	Calu3_smallRNA-S1-4h-B	Calu3_smallRNA-S1-12h-A	Calu3_smallRNA-S1-12h-B	Calu3_smallRNA-S1-24h-A	Calu3_smallRNA-S1-24h-B	Calu3_smallRNA-S2-4h-A	Calu3_smallRNA-S2-4h-B	Calu3_smallRNA-S2-12h-A	Calu3_smallRNA-S2-12h-B	Calu3_smallRNA-S2-24h-A	Calu3_smallRNA-S2-24h-B	Calu3_smallRNA-mock-4h-A	Calu3_smallRNA-mock-4h-B	Calu3_smallRNA-mock-24h-A	Calu3_smallRNA-mock-24h-B	Calu3_smallRNA-untr-4h-A	Calu3_smallRNA-untr-4h-B
hsa-let-7a-2-3p	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-let-7a-3p	2137	2127	1430	2485	1435	506	891	910	513	1068	698	452	3238	4095	1747	1513	3522	3647
hsa-let-7a-5p	411685	515159	264845	582932	287233	158958	298593	458702	210184	257204	296425	244672	477032	583945	189885	187039	557845	343437
hsa-let-7b-3p	1027	1215	604	1082	622	339	641	857	332	514	468	318	894	1223	470	556	1027	720
hsa-let-7b-5p	85768	101469	52314	116193	50584	33535	64098	100542	47981	48945	60701	48899	93842	109143	35997	34994	108622	59768
hsa-let-7c-3p	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-let-7c-5p	1857	2396	1296	2472	1413	1163	1328	2001	929	986	1503	1385	2099	2464	882	1365	2330	1490
hsa-let-7d-3p	4439	5122	2649	5266	2792	1547	2875	4331	2009	2497	3190	2500	4251	4942	1955	2123	4979	2903
hsa-let-7d-5p	4749	6871	3122	7815	3747	2326	3753	6473	4043	3045	4052	4042	7294	6539	2129	2343	7009	4305
hsa-let-7e-3p	47	69	31	61	35	12	24	60	23	24	26	12	130	65	28	22	81	66
hsa-let-7e-5p	24459	27567	15288	33831	13018	10022	17819	26294	11930	14716	14727	12523	27964	35832	11890	11262	30186	18899
hsa-let-7f-1-3p	402	481	278	433	309	121	204	201	112	208	185	114	320	596	232	248	423	364
hsa-let-7f-2-3p	10	16	15	31	6	6	8	20	9	13	10	6	63	24	14	2	25	37
hsa-let-7f-5p	154498	189901	103918	217196	113179	55859	97009	144319	68965	93283	103529	84226	170871	224373	75539	72202	200993	143171
hsa-let-7g-3p	37	45	30	46	22	11	24	70	29	24	28	19	59	29	12	27	55	29
hsa-let-7g-5p	11458	15091	7701	17959	8433	4642	7678	12996	6624	7024	8446	7960	28775	18253	5315	5191	16793	16754
hsa-let-7i-3p	210	372	140	432	155	90	237	433	193	138	210	193	444	305	79	120	367	203
hsa-let-7i-5p	6173	9430	4199	10832	4883	2629	4677	8652	5053	3714	4781	5069	12675	8796	2170	2355	8646	5986
hsa-miR-1-3p	4	0	2	2	0	0	2	0	0	0	4	2	4	12	0	0	0	0
hsa-miR-100-3p	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-100-5p	2	1	3	6	2	1	0	5	1	2	8	4	13	1	0	0	3	3
hsa-miR-101-2-5p	0	3	1	0	3	0	2	3	4	3	0	0	7	4	0	1	5	4
hsa-miR-101-3p	141	189	110	267	168	84	67	144	107	74	139	118	878	237	96	104	185	248
hsa-miR-101-5p	1	1	0	2	0	0	0	0	1	1	2	0	4	0	1	0	0	0
hsa-miR-10394-3p	0	0	0	0	0	0	0	0	1	0	0	2	2	1	0	2	1	0
hsa-miR-10395-3p	38	50	30	47	23	20	22	40	16	21	37	24	52	40	31	24	53	37
hsa-miR-10396a-3p	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-10396a-5p	2	0	0	0	1	3	0	0	0	2	0	2	0	0	0	4	0	0
hsa-miR-10396b-3p	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	1	0
hsa-miR-10396b-5p	1	0	0	0	1	3	0	0	0	2	0	1	0	0	0	3	0	0
hsa-miR-10398-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10399-3p	2	1	2	1	2	0	0	0	0	3	2	3	3	1	0	1	0	0
hsa-miR-10399-5p	3	3	3	5	4	2	2	2	3	5	5	1	3	2	7	7	3	8
hsa-miR-103a-1-5p	3	3	1	3	1	1	2	4	4	0	3	3	3	1	0	1	5	6
hsa-miR-103a-2-5p	3	12	3	9	7	1	3	7	6	2	11	3	19	7	1	1	12	7
hsa-miR-103a-3p	879	1900	816	2183	1119	610	843	1749	1315	735	1163	1057	1978	1376	410	448	2104	1196
hsa-miR-10400-5p	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
