"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GLDC",105.008501432036,4.44730140269685,0.355501440666764,11.1034751231766,1.20659255682502e-28,1.01739884391486e-24
"JCHAIN",16997.9927665214,4.28215545271916,0.339105258425594,11.1533376694866,6.89698026015418e-29,1.01739884391486e-24
"TOP2A",276.177921822777,3.03276624057274,0.233613597432827,10.8416901601843,2.18398391544472e-27,1.22769015833532e-23
"MCM10",45.2854179169832,3.09301316969957,0.249235802209584,10.403855091088,2.38100987551452e-25,1.00383376351692e-21
"DTL",81.5963977372233,2.8085935881436,0.223573510427441,10.325881557837,5.38221001941671e-25,1.81531179534887e-21
"PBK",33.7069701639136,3.28697421350743,0.282856887704718,9.85294802655406,6.656239243348e-23,1.87084697666368e-19
"MELK",48.5723687043157,2.72243835392235,0.227437490459684,9.77164472502086,1.49013055958644e-22,3.58993739383795e-19
"RRM2",618.687302800638,2.56324469457732,0.213045682081311,9.68451777299978,3.50860353058504e-22,7.39613624247326e-19
"CDC6",121.017881470186,2.3603703309684,0.19527196845878,9.52707316698712,1.61779997143043e-21,3.03139763535586e-18
"BUB1",183.967450254388,2.76887704647098,0.238716789078054,9.5044720366489,2.01065340625055e-21,3.39076590430093e-18
"ASPM",99.086308289543,2.71064472521236,0.23438391145313,9.43172554595081,4.03397199144631e-21,6.18444578761368e-18
"DEPDC1B",55.8675282283086,2.7152277984146,0.236025295946726,9.38555246601453,6.25874557975156e-21,8.79562378807753e-18
"BUB1B",73.0205578549547,2.84884311401033,0.250698530270351,9.36919379414533,7.30886532965582e-21,9.48128499379352e-18
"TXNDC5",7008.38487797212,3.0798875657897,0.279624806489736,9.22624712083402,2.80280048753433e-20,3.37617338726992e-17
"SDC1",55.0880326165921,4.61205051124091,0.459647989384039,8.94608614899273,3.68309649699375e-19,4.14078262168685e-16
"IGHG1",28723.7787066994,4.52416318848022,0.452941140764247,8.88451683079673,6.41991687432389e-19,6.76659238553738e-16
"E2F8",38.9436877388379,2.94449179327065,0.276603779905701,8.83752128804607,9.78655976717278e-19,9.7082672890354e-16
"EXO1",33.695323200098,2.56928885589811,0.235912903164981,8.77141024563203,1.76442321933364e-18,1.65306850949125e-15
"TRIP13",44.3284850763924,2.37920632253973,0.214759824732775,8.75026939921384,2.1284401560279e-18,1.88915867322392e-15
"IFI27",3290.94007771914,4.80933929051342,0.492962182415083,8.74172389736153,2.29580002077325e-18,1.935818577516e-15
"CDCA2",44.4569781403228,2.681607545275,0.250982442724417,8.69227154534649,3.55263711491792e-18,2.85293677647504e-15
"MKI67",332.822428378148,2.37471717797312,0.216616721294347,8.65453583994415,4.94921646491041e-18,3.48753904654392e-15
"POLQ",47.8348700996571,2.56837824550333,0.238850996872425,8.65970112156615,4.7300279946723e-18,3.48753904654392e-15
"STIL",50.8409866775538,2.17079603321256,0.193061603614452,8.65421192993493,4.96329086320293e-18,3.48753904654392e-15
"TYMS",303.728353042834,2.61490377975221,0.245475790829241,8.61552893915877,6.96194340222457e-18,4.69624854140461e-15
"KIF15",62.3413082061183,2.49371856887076,0.235782500306629,8.45575293449672,2.77292182074108e-17,1.79855975326837e-14
"GINS1",50.1048661341802,2.22467991853853,0.204239117907544,8.44441523351697,3.05571202869665e-17,1.90857509822001e-14
"ESCO2",42.0692777957333,2.40230830867225,0.226211625087303,8.40941887021978,4.1204712226951e-17,2.48170095355465e-14
"TNFRSF17",376.1273973298,3.344913895753,0.340002574836614,8.36733044483594,5.89382428622479e-17,3.42736044009982e-14
"NCAPG",154.704751195809,2.31966373114559,0.217915636958934,8.35031279324168,6.8082423019233e-17,3.82713993932115e-14
"HMMR",88.4579791471118,2.67187723141013,0.260684032983353,8.33145477517151,7.98549419009935e-17,4.34410883941405e-14
"DLGAP5",105.761419145232,2.60158023283038,0.252689280767564,8.31685549322336,9.03277735530465e-17,4.76027366624555e-14
"DIAPH3",15.9135866130887,2.9571429988855,0.296586634619203,8.28473947263438,1.18367912124616e-16,6.04895900021069e-14
"KIF14",35.6782977483633,2.50334848660733,0.244395535454387,8.19715664151822,2.46139619914492e-16,1.22085251477588e-13
"KCNN3",46.2161447476476,2.85802727786406,0.292849333488004,8.05201517715135,8.14418047319475e-16,3.9240988428559e-13
"SKA3",37.1572024737669,2.4547699690262,0.244377196886598,7.99898678735274,1.25447176863528e-15,5.87650330729595e-13
"CENPF",134.646130569954,2.2076530002364,0.214526563911357,7.96010046076164,1.71899653722421e-15,7.83490746047274e-13
"SHCBP1",156.982034781949,2.09098292079044,0.200194895222664,7.94717027634939,1.90820045966674e-15,8.46839277679473e-13
"E2F7",16.1019860553538,2.9625995890426,0.310294416558957,7.93633226260358,2.08247675582096e-15,9.0048430795294e-13
"KIF11",189.475102417469,2.07388616970254,0.198748262666824,7.9189933465781,2.39441160130943e-15,1.00948393111205e-12
"KNL1",88.3908829298295,2.03731245351155,0.194851492551026,7.88966219034208,3.03005602944377e-15,1.24631377757414e-12
"HJURP",90.0931726770433,2.33150452218591,0.233059548523453,7.85852600242895,3.88680043873683e-15,1.56064291902043e-12
"CDK1",175.203503288945,2.44451535891492,0.2482726435222,7.83217728432915,4.79492751687178e-15,1.88050366615176e-12
"ZWINT",178.668380708648,2.08564337191486,0.204042036168741,7.7711603044558,7.77703999392317e-15,2.98072732858001e-12
"IGLC2",16411.5325560983,3.5146243302002,0.392587657627113,7.67885661108466,1.60514777290345e-14,6.01538045383197e-12
"GPRC5D",24.2262664537655,3.71533957341319,0.42161656341378,7.62621740327031,2.4174202035423e-14,8.86247267663855e-12
"CCNA2",166.279106674431,1.91161246035377,0.18697665937185,7.54967205583891,4.36355584232814e-14,1.5656809728728e-11
"PLK4",78.4228153685257,1.9054460118453,0.187094992095401,7.5119381663014,5.82583069447479e-14,2.04680851732548e-11
"CDC25A",51.8657045151173,2.35383537692789,0.247222683157147,7.49864597072389,6.44804201725952e-14,2.21917919549111e-11
"GTSE1",41.6215648852895,2.11065672266622,0.214885563713328,7.49541614072755,6.60883474376519e-14,2.22902778237712e-11
"CDC45",75.7595471281537,2.25678057794575,0.235419969970131,7.46232606421897,8.50081959088699e-14,2.8109376780533e-11
"KIF4A",56.5194933274922,2.48569178764333,0.266847132967494,7.44130830847343,9.96929690831595e-14,3.23311967426616e-11
"NUSAP1",240.557458524946,1.79223458076788,0.174943010051448,7.38660310227798,1.50627359164863e-13,4.79279204708728e-11
"CKAP2L",38.8043288273741,2.14983066743397,0.224955882925464,7.33401876838497,2.2335179795777e-13,6.97519392733302e-11
"HASPIN",25.3082563863008,2.29751652081847,0.245529673263204,7.32097467865549,2.46176293256869e-13,7.41342323122115e-11
"IGHG3",3212.93602048859,3.39651979161384,0.395540496027797,7.3229411923736,2.42594131271517e-13,7.41342323122115e-11
"BHLHA15",92.5898210262845,3.38451245650614,0.395492435911372,7.29347060673632,3.02070645216259e-13,8.93705151039822e-11
"TPX2",143.0418819593,2.11999990775053,0.222231703797315,7.28968855509491,3.10672355784361e-13,9.03306656542666e-11
"CEP55",73.7522234017091,2.13274573010408,0.224577258114806,7.27030752717359,3.58670020040309e-13,1.02518834202708e-10
"MCM4",301.402174247264,1.5793382806582,0.148815820749345,7.25284633867099,4.08102993802253e-13,1.14704148124687e-10
"CD38",551.121543539359,1.8385209317139,0.184825380440503,7.24208400666479,4.41842011634846e-13,1.21123214894508e-10
"TICRR",22.2170606119958,2.38034087940685,0.259678823174688,7.24102511101543,4.45305937112163e-13,1.21123214894508e-10
"NCAPH",74.0186261949061,1.90743182368812,0.196703317501807,7.1550995761685,8.36122068219415e-13,2.23815278705591e-10
"CENPE",105.650151050216,1.97636092086724,0.208567585214123,7.07857320854318,1.45646178438558e-12,3.83777680185599e-10
"NEK2",44.1090200430409,2.10008186754987,0.227175495703889,7.0433735055452,1.87640348951637e-12,4.79449521927334e-10
"ORC1",64.7870109097439,1.89602335695457,0.198161716520361,7.04486911734602,1.85635914341541e-12,4.79449521927334e-10
"H2BC17",41.5243277327914,2.95974487005675,0.349364718265865,7.04062185290529,1.91383755480664e-12,4.81715769018795e-10
"IGF1",17.2087224826511,2.87713318641848,0.340309986895937,6.98519960610319,2.84451267471984e-12,7.0543914333052e-10
"CLSPN",104.222458231904,1.41638984084389,0.131423053277316,6.97282415825638,3.10640808986069e-12,7.59224145324793e-10
"PALM2AKAP2",444.014937045004,1.73469213716718,0.177361789967617,6.9614325463935,3.36829829398856e-12,8.11471177568902e-10
"IGLC3",5406.95524569508,3.03541616528371,0.368019046131743,6.88936127609027,5.60434457126185e-12,1.33115023732056e-09
"CCNE2",28.0480036268306,2.3994593274084,0.276357701606838,6.87319121690582,6.27813197465741e-12,1.47047802250865e-09
"KIF20A",45.9235642526326,2.41036837395625,0.279217042605675,6.84187596906171,7.81627513260025e-12,1.80566662789275e-09
"RAD54L",35.481466154182,2.16637995902636,0.2437811219716,6.83555783790548,8.16865328849911e-12,1.86156985212499e-09
"UCHL1",26.557110801548,3.14743599840227,0.38753711047631,6.83143865925096,8.40672375344227e-12,1.89027985837401e-09
"OTOF",476.731207754903,4.17514866598193,0.538931073474156,6.81932968216234,9.14662801244702e-12,2.02958861581456e-09
