"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-2-3p",0.205057703641264,1.05722352682614,4.99278788595253,0.211750138595051,0.832301969972872,NA
"hsa-let-7a-3p",1168.26218665772,-1.88638170875811,0.248274250438069,-7.59797564761417,3.00798916440988e-14,6.97853486143093e-12
"hsa-let-7a-5p",223802.987769826,0.153907592957117,0.196700393667972,0.782446796811759,0.433952040836167,0.92189086559648
"hsa-let-7b-3p",456.988052053968,-0.752538910787571,0.255291086992971,-2.9477680543085,0.0032007712067498,0.0424330811409116
"hsa-let-7b-5p",43815.4198490815,0.257165915507188,0.199356950954993,1.28997717047371,0.197058584730339,0.737380510603848
"hsa-let-7c-3p",0,NA,NA,NA,NA,NA
"hsa-let-7c-5p",1254.67376138216,0.0177804193432247,0.235019170871496,0.0756551870951272,0.939693429278814,0.999610127096233
"hsa-let-7d-3p",2380.27849494118,0.114690410083491,0.204878960319069,0.559795939538531,0.575618633572181,0.972245452423512
"hsa-let-7d-5p",3026.71301932477,0.501633114278183,0.203422066469071,2.46597197140584,0.0136642026021546,0.144095227440903
"hsa-let-7e-3p",22.2760500293465,-0.790412406535608,0.72559022927148,-1.0893371694506,0.276005227416317,0.837035460922688
"hsa-let-7e-5p",12455.9438402007,-0.13281475488438,0.201244992489093,-0.659965513882677,0.509275960288089,0.943902199409842
"hsa-let-7f-1-3p",199.118935640458,-1.05801881360063,0.314160912975002,-3.36776081907051,0.000757813086676137,0.0135240489314511
"hsa-let-7f-2-3p",8.14170610414618,-0.429321970878926,1.22931715927182,-0.349236132954683,0.726912041702519,0.981276468474986
"hsa-let-7f-5p",82439.2814335534,-0.0238529513994329,0.200146654182195,-0.119177367700183,0.9051348368019,0.999610127096233
"hsa-let-7g-3p",20.8852498507434,-0.077637601713092,0.742817199215291,-0.104517776103068,0.916758462246672,0.999610127096233
"hsa-let-7g-5p",6542.48410311413,0.281141829107128,0.201330576930675,1.39641893145687,0.162588377457255,0.70031172656479
